chan_rank,channelTitle,chan_subscribers,chan_video_views,chan_video_count,chan_category,chan_started,chan_average_views_per_video,chan_number_trending_videos
983,Doja Cat,11000000,5459891400,25,Music,2018,218395656.0,0
984,Tyga,11000000,5211071220,160,Music,2009,32569195.125,0
985,Wolfoo's stories,11000000,4227479765,942,Unknown,2016,4487770.451167728,0
986,Emily Tube,11000000,4040393626,770,Entertainment,2014,5247264.4493506495,0
987,ExplosmEntertainment,11000000,3685664468,1048,Comedy,2009,3516855.4083969467,2
988,Coisa de Nerd,11000000,3419435728,1962,Gaming,2009,1742831.6656472986,0
989,Taylor RS,11000000,3306502621,1845,Gaming,2016,1792142.34200542,0
990,unknown boy varun,11000000,3263285883,193,Music,2016,16908217.010362696,0
991,Viih Tube,11000000,886497694,505,People & Blogs,2013,1755440.9782178218,0
992,OYUNCAKOYNUYORUM,10900000,9948474904,791,Entertainment,2016,12577085.845764855,0
993,Brancoala,10900000,7934725886,1685,Entertainment,2008,4709036.134124629,0
994,핑크퐁 (인기 동요・동화),10900000,6663450148,2726,Education,2014,2444405.7769625825,0
995,OGGY,10900000,5589104660,920,Film & Animation,2014,6075113.760869565,0
996,JP Plays,10900000,4609300218,3528,Gaming,2014,1306490.9914965986,0
997,TrapMusicHDTV,10900000,4070521973,690,Music,2013,5899307.207246377,0
998,Games EduUu,10900000,3093784767,1006,Gaming,2011,3075332.7703777337,0
999,Hueva,10900000,3040301750,831,Gaming,2012,3658606.1973525872,0
1000,Dobre Brothers,10900000,2808411693,590,People & Blogs,2017,4760019.818644068,0
